latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
17666.0,1131.0,11103.0,,,,,,,,,Lake Tahoe Community College,Associate,Associate
25335.0,1258.0,9898.0,,,,,,,,,Laney College,Associate,Associate
20228.0,1144.0,9280.0,,,,,,,,,Lassen Community College,Associate,Associate
16570.0,14050.0,14050.0,,,,,,,,,Latin American Bible Institute,Associate,Bachelor
51459.0,37710.0,37710.0,,,,,,,,23.0,La Sierra University,Bachelor,Graduate
14503.0,1556.0,12544.0,,,,,,,,,Long Beach City College,Certificate,Associate
57740.0,10476.0,10476.0,,,,,,,,,Southern California University of Health Sciences,Certificate,Graduate
21772.0,1238.0,10568.0,,,,,,,,,Los Angeles Harbor College,Associate,Associate
21400.0,1238.0,10572.0,,,,,,,,,Los Angeles Pierce College,Associate,Associate
13624.0,1238.0,10572.0,,,,,,,,,Los Angeles Southwest College,Associate,Associate
20457.0,1238.0,10572.0,,,,,,,,,Los Angeles Trade Technical College,Certificate,Associate
20546.0,1238.0,10572.0,,,,,,,,,Los Angeles Valley College,Associate,Associate
54845.0,39020.0,39020.0,,,,,,,,,The Master's University and Seminary,Bachelor,Graduate
18924.0,1238.0,10572.0,,,,,,,,,Los Angeles City College,Associate,Associate
21717.0,1238.0,10572.0,,,,,,,,,Los Angeles Mission College,Associate,Associate
16056.0,1312.0,10320.0,,,,,,,,,Los Medanos College,Associate,Associate
83943.0,62357.0,62357.0,640.0,620.0,720.0,710.0,1359.0,28.0,32.0,30.0,Loyola Marymount University,Bachelor,Graduate
21015.0,1558.0,9334.0,,,,,,,,,College of Marin,Associate,Associate
17544.0,1423.0,10003.0,,,,,,,,,Mendocino College,Associate,Associate
72020.0,53630.0,53630.0,,,,,,,,,Menlo College,Bachelor,Bachelor
14485.0,1200.0,8520.0,,,,,,,,,Merced College,Associate,Associate
21424.0,1258.0,9898.0,,,,,,,,,Merritt College,Certificate,Associate
85418.0,67778.0,67778.0,690.0,730.0,740.0,780.0,1472.0,32.0,33.0,31.0,Northeastern University Oakland,Bachelor,Graduate
15531.0,1158.0,9750.0,,,,,,,,,MiraCosta College,Certificate,Bachelor
13744.0,1438.0,12500.0,,,,,,,,,Mission College,Associate,Associate
11487.0,1282.0,9264.0,,,,,,,,,Modesto Junior College,Associate,Bachelor
19605.0,1188.0,10572.0,,,,,,,,,Monterey Peninsula College,Associate,Associate
8015.0,1426.0,9615.0,,,,,,,,,Moorpark College,Associate,Associate
15701.0,1364.0,10464.0,,,,,,,,,Mt San Antonio College,Associate,Associate
66726.0,49564.0,49564.0,,,,,,,,,Mount Saint Mary's University,Bachelor,Graduate
14257.0,1448.0,12728.0,,,,,,,,,Mt San Jacinto Community College District,Associate,Associate
52369.0,34322.0,34322.0,,,,,,,,,Musicians Institute,Certificate,Graduate
22572.0,1156.0,11908.0,,,,,,,,,Napa Valley College,Associate,Associate
33978.0,13284.0,13284.0,,,,,,,,,National University,Bachelor,Graduate
62004.0,30291.0,30291.0,,,,,,,,,Newschool of Architecture and Design,Bachelor,Graduate
84800.0,66274.0,66274.0,690.0,690.0,750.0,770.0,1452.0,31.0,34.0,32.0,Occidental College,Bachelor,Bachelor
21254.0,1202.0,8714.0,,,,,,,,,Ohlone College,Associate,Associate
15561.0,1392.0,11640.0,,,,,,,,,Orange Coast College,Certificate,Associate
75861.0,56488.0,56488.0,665.0,600.0,720.0,675.0,1310.0,,,25.0,Otis College of Art and Design,Bachelor,Graduate
9437.0,1426.0,9615.0,,,,,,,,,Oxnard College,Associate,Associate
51784.0,38050.0,38050.0,420.0,420.0,570.0,650.0,1020.0,,,,Hope International University,Bachelor,Graduate
49404.0,37173.0,37173.0,,,,,,,,,Pacific Union College,Bachelor,Graduate
71515.0,57080.0,57080.0,590.0,593.0,710.0,770.0,1346.0,23.0,32.0,28.0,University of the Pacific,Bachelor,Graduate
